rank,xc_utm,yc_utm,zmean_m,ponding_m,basins,manholes,mean_pci,s_pond,s_basin_deficit,s_pci,priority
70,328481.21,4695800.92,-24.76,0.733,1,1,,0.414,0.5,0.5,45.7
71,328231.21,4695900.92,-5.5,0.185,0,1,,0.105,1.0,0.5,45.2
72,328781.21,4695850.92,-21.41,1.116,2,5,82.9,0.631,0.333,0.171,45.0
73,328781.21,4695600.92,-22.79,0.969,3,5,,0.548,0.25,0.5,44.9
74,328881.21,4695350.92,-16.91,0.872,2,1,,0.493,0.333,0.5,44.7
75,328331.21,4696100.92,-16.02,0.167,0,2,,0.094,1.0,0.5,44.7
76,328781.21,4695050.92,-22.95,0.403,0,0,84.1,0.228,1.0,0.159,44.6
77,328431.21,4695900.92,-24.55,0.409,0,7,84.9,0.231,1.0,0.151,44.6
78,328931.21,4695200.92,-20.96,0.394,0,2,83.3,0.223,1.0,0.167,44.5
79,328881.21,4695500.92,-21.4,1.006,4,8,,0.569,0.2,0.5,44.4
80,328231.21,4695550.92,-22.72,0.157,0,1,,0.089,1.0,0.5,44.4
81,328431.21,4696000.92,-24.06,0.958,1,2,92.6,0.542,0.5,0.074,43.6
82,328281.21,4695600.92,-23.71,0.899,1,2,84.5,0.509,0.5,0.155,43.5
83,328331.21,4695900.92,-10.97,0.921,3,4,,0.521,0.25,0.5,43.5
84,328281.21,4695950.92,-7.72,0.12,0,2,,0.068,1.0,0.5,43.4
85,328281.21,4695400.92,-22.65,0.313,0,0,78.7,0.177,1.0,0.213,43.1
86,328281.21,4696050.92,-14.5,0.961,2,5,72.9,0.544,0.333,0.271,42.6
