rank,x0_utm,y0_utm,zmean_ft,ponding_ft,basins,mean_pci,s_pond,s_basin_deficit,s_pci,priority
1520,327434.2,4695125.4,33.0,1.933,0,,0.483,1.0,0.5,64.2
1521,327534.2,4695375.4,40.7,3.14,1,,0.785,0.5,0.5,64.2
1522,326584.2,4693925.4,16.8,1.925,0,,0.481,1.0,0.5,64.1
1523,327684.2,4694875.4,31.0,3.85,4,,0.963,0.2,0.5,64.1
1524,326184.2,4695075.4,97.5,1.889,0,47.8,0.472,1.0,0.522,64.1
1525,325734.2,4695875.4,28.7,3.527,2,,0.882,0.333,0.5,64.1
1526,327984.2,4694425.4,24.7,1.917,0,,0.479,1.0,0.5,64.0
1527,324784.2,4696425.4,27.9,1.919,0,,0.48,1.0,0.5,64.0
1528,325584.2,4696625.4,28.4,1.923,0,,0.481,1.0,0.5,64.0
1529,325834.2,4696625.4,30.0,1.923,0,,0.481,1.0,0.5,64.0
1530,326684.2,4693925.4,15.4,1.914,0,,0.479,1.0,0.5,63.9
1531,327834.2,4694675.4,30.2,1.911,0,,0.478,1.0,0.5,63.9
1532,327684.2,4694775.4,31.4,3.971,6,,0.993,0.143,0.5,63.9
1533,325934.2,4694825.4,29.9,1.918,0,50.4,0.48,1.0,0.496,63.9
1534,328984.2,4695225.4,9.1,1.911,0,,0.478,1.0,0.5,63.9
1535,326834.2,4695725.4,61.8,3.88,2,73.2,0.97,0.333,0.268,63.9
1536,325234.2,4696175.4,27.2,1.913,0,,0.478,1.0,0.5,63.9
1537,327034.2,4694075.4,9.8,1.901,0,,0.475,1.0,0.5,63.8
1538,326834.2,4694925.4,81.0,2.521,0,88.4,0.63,1.0,0.116,63.8
1539,326734.2,4694975.4,83.4,2.463,0,85.0,0.616,1.0,0.15,63.8
1540,327384.2,4695275.4,45.1,1.9,0,,0.475,1.0,0.5,63.8
1541,327984.2,4695375.4,10.0,1.903,0,,0.476,1.0,0.5,63.8
1542,325584.2,4695725.4,26.9,1.901,0,,0.475,1.0,0.5,63.8
1543,325184.2,4696725.4,53.2,1.903,0,,0.476,1.0,0.5,63.8
1544,328034.2,4693525.4,8.1,1.896,0,,0.474,1.0,0.5,63.7
1545,328584.2,4693825.4,13.9,1.898,0,,0.475,1.0,0.5,63.7
1546,327184.2,4695325.4,58.3,3.895,5,,0.974,0.167,0.5,63.7
1547,325684.2,4695925.4,27.8,4.0,7,,1.0,0.125,0.5,63.7
1548,326384.2,4696025.4,39.8,2.327,0,77.0,0.582,1.0,0.23,63.7
1549,327784.2,4693975.4,16.5,1.89,0,,0.472,1.0,0.5,63.6
1550,326434.2,4694275.4,15.3,2.065,0,61.1,0.516,1.0,0.389,63.6
1551,328784.2,4694775.4,38.5,1.89,0,,0.473,1.0,0.5,63.6
1552,325934.2,4694925.4,39.0,2.578,0,93.1,0.645,1.0,0.069,63.6
1553,326534.2,4695775.4,39.8,3.662,1,85.8,0.916,0.5,0.142,63.6
1554,326134.2,4696325.4,38.1,2.086,0,62.5,0.521,1.0,0.375,63.6
1555,325134.2,4697025.4,76.1,1.885,0,,0.471,1.0,0.5,63.6
1556,328084.2,4693425.4,9.9,3.077,1,,0.769,0.5,0.5,63.5
1557,327134.2,4695375.4,64.7,3.977,7,,0.994,0.125,0.5,63.5
1558,328084.2,4694525.4,23.8,1.87,0,,0.468,1.0,0.5,63.4
1559,327734.2,4694625.4,48.3,1.876,0,,0.469,1.0,0.5,63.4
1560,325384.2,4695675.4,24.8,1.868,0,,0.467,1.0,0.5,63.4
1561,325734.2,4695825.4,30.2,1.87,0,,0.468,1.0,0.5,63.4
1562,327334.2,4693725.4,9.9,1.867,0,,0.467,1.0,0.5,63.3
1563,326484.2,4695075.4,103.2,2.456,0,87.1,0.614,1.0,0.129,63.3
1564,328034.2,4694475.4,22.4,1.859,0,,0.465,1.0,0.5,63.2
1565,326184.2,4694825.4,61.0,1.947,0,55.8,0.487,1.0,0.442,63.2
1566,325684.2,4694975.4,31.7,2.377,0,82.6,0.594,1.0,0.174,63.2
1567,327584.2,4695175.4,31.6,1.853,0,,0.463,1.0,0.5,63.2
1568,327834.2,4695525.4,25.1,1.854,0,,0.464,1.0,0.5,63.2
1569,327784.2,4696125.4,16.6,1.854,0,,0.464,1.0,0.5,63.2
1570,327334.2,4693975.4,9.9,1.847,0,,0.462,1.0,0.5,63.1
1571,326984.2,4694125.4,10.9,1.852,0,,0.463,1.0,0.5,63.1
1572,325834.2,4694725.4,27.3,2.477,0,89.5,0.619,1.0,0.105,63.1
1573,328634.2,4695025.4,26.0,1.847,0,,0.462,1.0,0.5,63.1
1574,328534.2,4695125.4,19.7,1.845,0,,0.461,1.0,0.5,63.1
1575,326434.2,4695125.4,102.8,2.505,0,91.4,0.626,1.0,0.086,63.0
1576,327034.2,4695575.4,86.1,2.349,0,82.1,0.587,1.0,0.179,63.0
1577,327784.2,4693475.4,9.8,3.889,6,,0.972,0.143,0.5,62.9
1578,327984.2,4694625.4,25.9,1.831,0,,0.458,1.0,0.5,62.9
1579,327784.2,4694775.4,26.8,3.436,2,,0.859,0.333,0.5,62.9
1580,327084.2,4695375.4,65.0,3.749,4,,0.937,0.2,0.5,62.9
1581,327584.2,4696175.4,26.8,3.032,1,,0.758,0.5,0.5,62.9
1582,325384.2,4696725.4,42.3,3.031,1,,0.758,0.5,0.5,62.9
1583,326634.2,4694325.4,12.5,2.289,0,79.0,0.572,1.0,0.21,62.8
1584,328134.2,4694875.4,22.0,1.825,0,,0.456,1.0,0.5,62.8
